# Tools/apidoc_secrets.txt -- GENERATED, do not edit by hand.
#
# Source: the client's own APIDocumentation, exported by
# Tools/APIDump and converted by Tools/apidoc_import.py.
# Regenerate after every content patch.
#
#   H | build | interface | generated
#   F | function            | secret return aspects | structures with secret fields
#   A | function            | secret argument policy | aspects added
#   X | function            | forbidden aspects checked (argument)
#   S | structure | field   | ConditionalSecret,NeverSecret,...
#
# Only F records taint a value in Tools/lint_secret_values.py.
# The rest are recorded so the file stays useful as the linter grows.

H|12.1.0|120100|2026-09-13
A|C_AreaPoiInfo.GetAreaPOISecondsLeft|AllowedWhenUntainted|
A|C_AreaPoiInfo.GetDelvesForMap|AllowedWhenUntainted|
A|C_AreaPoiInfo.GetDragonridingRacesForMap|AllowedWhenUntainted|
A|C_AreaPoiInfo.GetEventsForMap|AllowedWhenUntainted|
A|C_AreaPoiInfo.GetQuestHubsForMap|AllowedWhenUntainted|
A|C_AreaPoiInfo.IsAreaPOITimed|AllowedWhenUntainted|
A|C_ArtifactUI.AddPower|AllowedWhenUntainted|
A|C_ArtifactUI.ApplyCursorRelicToSlot|AllowedWhenUntainted|
A|C_ArtifactUI.CanApplyArtifactRelic|AllowedWhenUntainted|
A|C_ArtifactUI.CanApplyCursorRelicToSlot|AllowedWhenUntainted|
A|C_ArtifactUI.CanApplyRelicItemIDToEquippedArtifactSlot|AllowedWhenUntainted|
A|C_ArtifactUI.CanApplyRelicItemIDToSlot|AllowedWhenUntainted|
A|C_ArtifactUI.GetAppearanceInfoByID|AllowedWhenUntainted|
A|C_ArtifactUI.GetAppearanceInfo|AllowedWhenUntainted|
A|C_ArtifactUI.GetAppearanceSetInfo|AllowedWhenUntainted|
A|C_ArtifactUI.GetArtifactXPRewardTargetInfo|AllowedWhenUntainted|
A|C_ArtifactUI.GetCostForPointAtRank|AllowedWhenUntainted|
A|C_ArtifactUI.GetEquippedArtifactNumRelicSlots|AllowedWhenUntainted|
A|C_ArtifactUI.GetEquippedArtifactRelicInfo|AllowedWhenUntainted|
A|C_ArtifactUI.GetEquippedRelicLockedReason|AllowedWhenUntainted|
A|C_ArtifactUI.GetItemLevelIncreaseProvidedByRelic|AllowedWhenUntainted|
A|C_ArtifactUI.GetNumRelicSlots|AllowedWhenUntainted|
A|C_ArtifactUI.GetPowerHyperlink|AllowedWhenUntainted|
A|C_ArtifactUI.GetPowerInfo|AllowedWhenUntainted|
A|C_ArtifactUI.GetPowerLinks|AllowedWhenUntainted|
A|C_ArtifactUI.GetPowersAffectedByRelicItemLink|AllowedWhenUntainted|
A|C_ArtifactUI.GetPowersAffectedByRelic|AllowedWhenUntainted|
A|C_ArtifactUI.GetRelicInfoByItemID|AllowedWhenUntainted|
A|C_ArtifactUI.GetRelicInfo|AllowedWhenUntainted|
A|C_ArtifactUI.GetRelicLockedReason|AllowedWhenUntainted|
A|C_ArtifactUI.GetRelicSlotType|AllowedWhenUntainted|
A|C_ArtifactUI.GetTotalPowerCost|AllowedWhenUntainted|
A|C_ArtifactUI.IsArtifactItem|AllowedWhenUntainted|
A|C_ArtifactUI.IsPowerKnown|AllowedWhenUntainted|
A|C_ArtifactUI.SetAppearance|AllowedWhenUntainted|
A|C_ArtifactUI.SetForgeRotation|AllowedWhenUntainted|
A|C_ArtifactUI.SetPreviewAppearance|AllowedWhenUntainted|
A|C_AssistedCombat.GetNextCastSpell|AllowedWhenUntainted|
A|C_AuctionHouse.CalculateCommodityDeposit|AllowedWhenUntainted|
A|C_AuctionHouse.CalculateItemDeposit|AllowedWhenUntainted|
A|C_AuctionHouse.CanCancelAuction|AllowedWhenUntainted|
A|C_AuctionHouse.CancelAuction|AllowedWhenUntainted|
A|C_AuctionHouse.ConfirmCommoditiesPurchase|AllowedWhenUntainted|
A|C_AuctionHouse.ConfirmPostCommodity|AllowedWhenUntainted|
A|C_AuctionHouse.ConfirmPostItem|AllowedWhenUntainted|
A|C_AuctionHouse.GetAuctionInfoByID|AllowedWhenUntainted|
A|C_AuctionHouse.GetAuctionItemSubClasses|AllowedWhenUntainted|
A|C_AuctionHouse.GetAvailablePostCount|AllowedWhenUntainted|
A|C_AuctionHouse.GetBidInfo|AllowedWhenUntainted|
A|C_AuctionHouse.GetBidType|AllowedWhenUntainted|
A|C_AuctionHouse.GetCancelCost|AllowedWhenUntainted|
A|C_AuctionHouse.GetCommoditySearchResultInfo|AllowedWhenUntainted|
A|C_AuctionHouse.GetCommoditySearchResultsQuantity|AllowedWhenUntainted|
A|C_AuctionHouse.GetExtraBrowseInfo|AllowedWhenUntainted|
A|C_AuctionHouse.GetItemCommodityStatus|AllowedWhenUntainted|
A|C_AuctionHouse.GetItemKeyFromItem|AllowedWhenUntainted|
A|C_AuctionHouse.GetItemKeyInfo|AllowedWhenUntainted|
A|C_AuctionHouse.GetItemKeyRequiredLevel|AllowedWhenUntainted|
A|C_AuctionHouse.GetItemSearchResultInfo|AllowedWhenUntainted|
